,GSM3513977,GSM3513978,GSM3513981,GSM3513984,GSM3513991,GSM3514004,GSM3514010,GSM3514013,GSM3514014,GSM3514023,GSM3514025,GSM3514026,GSM3514031,GSM3514033,GSM3514035,GSM3514041,GSM3514045,GSM3514047,GSM3514048,GSM3514051,GSM3514053,GSM3514054,GSM3514062,GSM3514065,GSM3514074,GSM3514075,GSM3514081,GSM3514093,GSM3514109,GSM3514117,GSM3514124,GSM3514129,GSM3514132,GSM3514134,GSM3514136,GSM3514143,GSM3514151,GSM3514154,GSM3514170,GSM3514179,GSM3514180,GSM3514182,GSM3514195,GSM3514196
A1BG,4.27,3.88,6.64,3.22,2.63,5.69,5.87,1.3,4.66,4.77,6.41,7.91,8.19,4.78,4.62,5.31,4.02,6.48,5.15,6.48,3.15,5.07,3.98,7.68,5.14,4.36,3.51,4.78,5.62,3.85,4.12,5.14,3.54,3.88,8.52,1.46,9.16,3.2,5.77,2,2.96,4.95,4.26,5.65
A1BG-AS1,4.16,3.01,4.42,3.85,2.37,7.41,4.04,2.48,4.38,6.64,5.68,3.65,6.88,1.7,4.54,8.3,2.67,6.1,4.44,6.11,4.28,3.97,3.93,7.43,4.46,4.21,3.73,3.16,5.93,3.47,5.85,4.51,4.29,2.66,6.07,1.51,5.17,1.84,3.3,1.78,4.05,3.83,5.18,7.26
A1CF,0.01,0,0,0.01,0,0.02,0,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0.01,0,0,0.13,0,0.03,0,0,0,0.01,0,0,0.01,0.01,0,0.02
A2M,25.89,679.43,85.65,1397.47,121.3,375.23,263.81,187.77,802.2,277.88,353.13,843.63,239.42,283.68,152.03,1227.7,550.55,47.83,248.04,3016.34,361.42,647.26,184.25,50.32,150.88,109.73,101.88,134.69,162.25,958.95,439,986.26,100.64,140.67,110.42,191.35,205.68,600.26,97.94,554.98,152.86,30.89,432.26,884.17
A2M-AS1,0.41,1.37,0.8,3.08,1.68,1.82,1.48,1.76,3.76,1.09,1.33,1.33,1.34,0.67,1.05,2.51,2.12,1.02,0.9,4.36,1.16,1.79,0.89,0.16,0.77,0.42,0.85,0.74,0.86,1,0.49,1.1,1.04,0.23,1.16,0.7,1.36,1.42,0.39,0.92,0.92,0.18,2.17,1.77
A2ML1,1.26,10.18,0.55,4.86,13.05,11.83,2.37,36.94,67.1,1.31,26.18,17.42,12.88,0.24,24.6,9.83,1.92,63.28,1.69,25.56,12.29,4.21,14.76,0.59,1.97,2,0.95,0.45,0,97.86,2.89,28.98,0.37,8.55,62.82,4.11,3.25,4.58,1.67,5.19,10.13,1.83,72.84,16.64
A2MP1,0.1,0.05,0.07,1.44,0,0.15,0.32,0.32,0.05,0.44,0.12,0.4,0.07,0.41,0.11,0.1,0.1,1.93,0.2,0.34,0.05,0.97,0.14,0,0.09,0,0,0.04,0.05,0.4,0.28,0.13,0.03,0,0,0.15,0.13,0,0,3.49,0.27,0.05,0,0.47
A3GALT2,0,0,0.09,0.06,0,0,0.06,0,0.13,0,0,0.06,0,0.17,0,0.06,0.12,0,0.11,0.06,0,0,0,0.17,0,0.07,0.06,0,0,0,0,0.05,0.04,0,0,0.04,0,0.07,0,0,0,0,0.06,0
A4GALT,15.26,9,3.78,2.01,10.91,4.76,11.13,12.35,14.87,15.32,14.6,33.51,9.51,26.96,4.94,17.9,2.05,12.4,7.96,8.09,5.66,16.87,17.02,8.73,10.2,5.7,5.58,10.54,9.45,28.35,15.59,19.13,18.4,21.15,6.3,17.18,34.77,6.42,9.76,11.98,7.57,2.47,8.34,19.21
A4GNT,0.03,0.03,0.04,0.1,0.04,0.03,0.1,0,0.03,0.11,0.03,0.09,0,0,0.03,0.03,0,0,0.04,0,0,0,0.03,0.03,0,0,0,0.06,0.06,0,0,0.08,0.15,0,0,0.02,0.08,0,0.03,0.03,0.03,0.03,0.03,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,14.15,12.89,16.76,12.23,15.08,25.42,22.43,18.07,23.5,18.23,17.07,14.77,19.14,17.4,12.61,23.6,18.55,21.15,17.15,17.39,15.4,11.84,9.15,17.9,21.31,22.11,33.23,20,21.47,16.4,30.05,20.68,13.62,20.44,15.48,17.42,23.34,23.75,13.16,28.95,16.22,19.9,25.6,15.78
