,GSM4171496,GSM4171497,GSM4171499,GSM4171514,GSM4171517,GSM4171521,GSM4171522,GSM4171524,GSM4171527,GSM4171530,GSM4171531,GSM4171535,GSM4171536,GSM4171541,GSM4171543,GSM4171546,GSM4171560,GSM4171564,GSM4171572,GSM4171574,GSM4171578,GSM4171584
A1BG,5.08716160152997,4.02933330144696,4.09166068033831,5.308809954145,4.34168454275459,5.4599936453993,4.4294205616656,4.40493972749106,5.29817764229826,5.05220926309909,3.98066889744009,4.51443486448871,4.74963621591237,4.78643393389362,4.70559988824174,4.42145429212466,4.91750992418566,4.90454275625266,5.1424345663571,5.46658034894651,4.12781445080209,4.84239405163574
A1BG-AS1,4.51378695139333,3.68353382419055,3.73580397367524,3.99138208043691,3.7667358580476,4.40112355577392,4.05675731129726,4.00854371126684,4.35397215679963,3.76496417770059,4.08228431525046,3.66678961588214,4.00514640457161,3.74379831160997,4.08691405880279,3.65309677773272,4.10933870394447,4.13015206634705,4.02617337164237,4.39044188065065,3.54478455418434,4.12668773032742
A1CF,4.73193614106236,4.91267771569295,5.12516872854085,5.04710983144893,4.36306268252723,4.7528172446481,5.02301783577939,4.73279814326691,4.7603941635738,4.88717346224798,4.95982205603839,4.94959173888282,4.71131712190483,4.8934329681278,4.89539982879991,4.79718110510525,5.05975581635639,4.63435993803395,4.77477472055458,4.65136172882568,4.81449909903531,5.26295485032559
A2M,8.23503967930337,8.59965481908903,9.67264672306171,9.38314093400547,9.98967314887038,11.2613629642869,11.0560391923217,11.1168960487224,8.98102453264562,10.5121926058252,8.9409106892176,10.9347449222487,10.1286210118102,9.49003498481162,9.28261621027539,11.1638651462297,10.2693974133262,10.8513430484019,11.0521007043692,10.3518608522426,11.1628950304654,10.8432864964442
A2M-AS1,4.64754144991363,3.60857529758045,5.4138379193635,3.62354512644985,4.54216531761064,5.03714356161783,5.72663795031491,4.85637166931595,4.47135391715244,4.74911825284943,3.62206693831564,5.43432645662766,4.8107904257076,4.46503581646888,4.31746123241235,5.15309914857927,4.74259298729617,5.09666224847923,4.67458620617161,4.41919266347651,5.51084870167169,5.67501267395897
A2ML1,8.34094871859405,3.23182930096004,6.02680079424024,3.26487836150538,3.11340219901918,5.3861374596808,6.09616764662706,3.05924801734264,3.67549663623613,4.5060031803406,3.23004352799103,7.56247636558062,3.89843761184429,3.36890781196074,9.00689575583785,6.33794414298475,4.3612539130332,3.55662010945751,4.73756952512861,3.33698639684593,3.31639429547364,2.99801793712057
A2MP1,3.80344745667289,3.94722140692318,4.21784848485515,3.97682425672346,3.82298297992711,4.2326097490992,4.28544532951114,3.93310996822657,3.99511398639389,3.96066560217046,3.90923427260125,4.0365261097223,4.0316889902759,3.82953751015706,3.99222155986585,4.11069314616408,4.02695615608729,3.94557335443572,4.03070384962194,4.29885518339264,4.00018836782838,3.95969060921686
A4GALT,4.29582854057033,4.411342869047,4.51123776940804,4.7378510316594,4.60645250400113,5.4937416493995,4.74853956488829,4.46496962064709,4.78936529530926,4.15115351920079,5.12193358447021,4.72639758745392,4.44256770259081,4.97593665614749,4.88128487280742,4.92959005307176,4.57717672704649,4.87298769571687,5.87414053823745,5.28140917481742,4.75186213837628,4.49998546261565
A4GNT,3.46224474419708,3.82413344403854,4.01413081811988,3.76870567334123,3.56363881207521,3.41590815378649,3.92310447552549,3.27072139388132,3.74618083579839,3.66358329668327,3.874626164446,3.75927382263118,3.37034938161973,3.63317906229791,3.66539516704397,3.88700304250059,3.83517594702831,3.76544422628453,3.85696963271111,3.7847455032643,3.66358329668327,3.76020465662886
AA06,4.0627444818658,3.99242286494624,3.81946462732154,3.63005318855307,4.04449825810244,3.89872174066801,4.2697255858701,3.74062392773753,4.13966469567119,3.86640693965092,4.1605536037389,3.99296003727585,3.81287334915393,4.0814787477799,3.90966316213151,3.75652397667126,3.59612021697671,4.000573349246,4.3474314103536,3.92771878799245,3.92307157253959,3.84947278482306
