,GSM590840,GSM590842,GSM590848,GSM590850,GSM590851,GSM590852,GSM590853,GSM590855,GSM590858,GSM590860,GSM590862,GSM590864,GSM590867,GSM590869,GSM590870,GSM590871,GSM590873,GSM590874,GSM590877,GSM590879,GSM590880,GSM590884,GSM590885,GSM590886,GSM590889,GSM590890,GSM590894,GSM590896,GSM590898
A1CF,7.2957300903217,6.19858941870231,6.42757346987153,6.13586014001166,6.38936124800859,6.40888768733944,6.4752200761948,6.15131295744717,6.27073464631029,6.73892428057919,6.38787564063867,6.06802438644047,6.19414292665112,6.54735273163835,6.4319067559305,6.65605673136872,6.06152798300212,6.14319915803406,6.06812633041839,6.2621341356111,6.21196682912669,5.94325315919725,6.01528526298978,5.77359289044331,6.2013070419307,6.25616903001601,6.09920567303421,6.1980504366595,6.0204783368341
A2M,7.95792202942525,7.5148818045337,9.20846954925494,7.60954503455225,9.26175699045935,6.8844167165696,9.29340498125121,6.85775576748213,7.56440145792584,7.09191937385151,6.54538885946873,6.80392417958612,6.74520870206038,7.69305050948696,7.89758701439306,7.51361653142208,9.18514306988962,7.0515082194654,6.03054105201942,8.4227583210164,8.22720198229435,6.66459457695354,6.36782027042835,10.7612900655085,7.2008382038074,9.89495287523042,11.8941923560432,7.45693489145537,7.57697293780611
A4GALT,5.90170587138285,4.7745409430204,5.10261215714518,4.90616694529604,4.78644203275358,4.84534922129161,4.97788243343104,4.85842744718463,4.86955933986281,5.15369044239314,4.87415285097634,4.89795037106561,5.65634070674281,4.97006345477438,5.20832304919427,5.17365503683185,4.71656176607409,4.66588223958694,4.96708788597035,4.7807596492678,4.96004158981992,5.44508015568464,5.01379884402434,4.79952583523154,4.99397219842016,5.18809560609668,4.9347441089051,4.96820097879889,5.08443515467436
A4GNT,6.07181332589894,5.82293751785083,6.00057423357837,5.79963988020405,5.93246876568756,6.00155787747219,5.98820650990155,5.85399315686723,5.85399315686723,5.95262050381815,5.91909895189094,5.83283168591558,5.83323527577296,6.0647167231835,6.04586981853031,5.94740491416518,5.75963810852873,5.76242108624982,5.78900094266835,5.84706355832482,5.94046476335421,5.73311378239938,5.84610426185548,5.62620796043588,5.89988467836913,5.86745770524577,5.62199306895645,5.62364100067758,5.74219235258138
AAAS,7.91417245117548,7.28454296132152,7.55015113028182,7.31709020088312,7.52590255978494,7.38199918793436,7.25740407161397,7.35323372989485,7.40106896596999,7.64067698005567,7.4335815377808,7.36065995339533,7.59803255390461,7.09453310390859,7.58292618830611,7.66118069547769,7.17643033187,7.1149148526933,7.36959058625127,7.43804437261522,7.59059188497045,7.70587433716566,7.55356574841878,7.04116432751082,7.31657208865527,7.27266244543128,7.36409573174073,7.32760868641735,7.50161150976854
AACS,6.32836614253717,5.56756036965543,7.5614815087241,6.9195841363328,6.1693970709202,6.62394903407978,7.25275255472994,6.96683529935071,7.64091044788742,6.27819318320239,7.29112373721574,8.23303115928921,6.60387021263784,8.42334062040322,6.12174454997167,6.09356864990408,6.91990113749948,7.16847987916951,7.25058791574367,7.71786691883664,6.89479404451423,6.23182352262245,7.16523768184883,7.23522490066276,7.37308327494197,6.6493684537802,6.20890467909953,5.96675217914627,7.20337316780934
AADAC,5.50708758513447,4.66311559562167,4.6059015457202,4.4512449750888,4.45905166993288,4.58811152364037,4.42032553645212,4.76307388351541,4.87193988820894,5.01177885437258,4.50636730435961,4.53848455521394,4.70458369355755,4.44011453977099,4.55427890522698,4.98286884865902,4.3065926454365,4.40702867656178,4.52709721497265,4.53208894573159,4.76409373200374,4.56909429269556,4.44978886183287,4.33121513615641,4.53205084444258,4.53280186291865,4.37890816641594,4.48054044563579,5.83488825844976
AAGAB,7.09662516907521,6.32369631295802,6.36962337304164,6.11849281515401,6.29263355053677,6.2046031152558,6.38962253027225,6.57699670298758,6.23654939534684,6.64957475062917,6.29578348321257,6.45917200324271,6.57114778227261,6.35120069985598,6.36982782428104,6.66102274331479,6.18366608811833,6.21768374368295,6.16064931288662,6.20730617059462,6.83700978383935,6.03850351746254,6.46957031305061,6.58163675537743,6.36739929289121,6.30959028222318,5.92658539312871,6.22784746568361,6.76525825872951
AAK1,6.26693171204311,5.72078680468394,5.71223103662709,5.96111739120587,5.74583196159745,6.26018393679564,6.02202593802312,5.88435799986935,5.80235621206134,6.25419564726854,5.75850202045945,5.64728949635308,6.64604844125878,6.24163038802194,5.75762760736925,5.83111652658337,5.91720569964801,5.88687353698153,5.39365825175093,5.82918184877563,7.04784642763721,5.92371411707844,5.97020643179846,6.32664917872029,5.71213848251745,6.07473549903193,6.07638303727001,5.58088337733436,6.1359389480952
AAMDC,6.50770236768871,6.68481961447945,6.36962337304164,5.95363404295347,6.27201254727262,6.72845192358575,6.04012425436161,6.03984228391562,6.11631482645663,6.24263416064924,6.57085299559418,6.37406612081838,6.25836895406812,5.72352008048756,6.37925614456183,6.39040771617585,6.57843015114688,6.71800376648208,7.25808984322833,7.31189091187812,6.65799937651319,6.3447172019995,6.271223710286,7.13106472758082,7.05332117350965,6.18355641985913,6.27841985318481,6.09494198736438,6.46041891341225
