,GSM713198,GSM713199,GSM713200,GSM713201,GSM713202,GSM713203,GSM713204,GSM713205,GSM713206,GSM713207,GSM713208,GSM713209,GSM713210,GSM713211,GSM713212,GSM713213,GSM713214,GSM713215,GSM713216,GSM713217,GSM713218,GSM713219,GSM713220,GSM713221
A1BG,3.45144365921663,3.87501116896762,3.24318543276635,3.16481971454814,3.3881171076831,4.01131485852378,3.91321820533029,3.29819231872474,4.82274953477381,4.62462292550005,3.21674908595361,2.90088993311952,4.50657171092984,4.6294585005962,3.51405904706275,3.3660193215955,4.01410338836588,4.23128977253911,2.61585663163898,2.96534092113386,5.30817241510452,4.97516188064131,4.43328972643857,4.36347379124765
A1BG-AS1,5.50559746894535,5.94826031386957,4.81338431282818,4.84914084493729,6.10581014020697,6.57131959147533,5.00022512267501,5.65569787823956,6.28092186849281,6.1443587226132,5.40437918605413,5.44508031206327,6.46576882825455,6.69333292421636,5.28060095153925,5.55284087871347,5.23024498010486,5.48936728251184,4.918487988585,4.96686891284586,6.47623497871684,6.4354214701151,5.92245006342571,5.86188820578895
A1CF,1.47998005512609,1.47198461526588,1.14346894456859,1.5003387350948,1.50629565095058,1.2704432338499,1.2628916438012,1.8397238552695,1.4663560744334,1.42477329960239,1.74199831298073,1.37000696869607,1.60466311186742,1.27730426610303,1.70043678394866,1.277466565742,1.48269600522966,1.49570831118371,1.51678222049963,1.52726879004868,1.70119510919396,1.39262223256746,1.73751618881525,1.69785046144561
A2M,10.583293974786,10.8111064545121,10.2870662260681,10.3850126230026,10.7169655134,10.9016769397495,10.0542972018055,10.1920911071278,11.2987792432189,11.1764986179309,10.8647000115734,11.0983403053385,9.49052166370481,9.32062071491052,11.3788152063653,11.3602496516142,10.7081940911263,10.752263361462,10.5810927384339,10.4862635382189,11.1627221977085,11.1459027041178,10.8247656923012,10.877567511259
A2M-AS1,5.18981265534224,5.6905271603539,5.64739609238633,5.63649191244556,5.2192195986391,5.02402182941305,4.61180479658664,4.44150570236844,6.62309805704157,6.5215175962715,6.66704657702788,6.26992619468849,4.30443198169605,4.70048294104959,6.60763459632548,6.32310299216863,4.29859782060876,4.48120828499365,4.51806582083411,4.50156274014112,6.00792866380006,5.49930078232957,5.15523942193276,4.95739495102315
A2ML1,3.38275758150897,3.57726252307205,5.73788955507125,5.56587979112412,1.84061143698784,1.58622206911408,1.83353791738838,1.92469412470401,1.61281060437819,1.71107981977647,5.87225766603473,5.50669750184178,1.85342620270873,1.57474909649868,1.55408283482411,1.70398211851922,1.28028862247909,1.74189561834639,2.27723197551421,2.16462540392815,5.24901381056625,4.40719054838957,8.7041604585442,8.4683910361616
A2MP1,2.7272894967621,2.76986788236755,3.72652435068035,3.71126883958294,3.33085851178044,2.53972915559382,3.96281196660724,2.98697863935482,3.86272443624085,3.52796229511631,8.15182633765137,8.0576220656041,2.53361459839613,2.18310319142847,3.60241605853126,4.73712972689056,3.09136022950713,2.91510744357033,3.31315807618833,3.56930240446616,2.10414395470688,2.52310598962728,4.98021715463993,4.61085564900926
A4GALT,5.07557222058085,4.88661312977279,6.09487254368158,5.86296962065138,4.9778129912012,5.18170022532717,5.14211779734569,4.66415202752521,5.40356622788335,5.42509692808596,4.58839004059626,4.57614445848311,4.80723843176293,4.66986310967927,5.14793697953176,4.68476047688721,4.80839119912024,5.2516681298973,4.70829228626579,4.66244414989545,5.4515864532137,5.22080707539095,5.92991659203914,5.46245269853879
A4GNT,1.3850794677084,1.31553350477539,1.41380483364728,1.31468333449395,1.58891438748554,1.31108087266211,1.47936829221776,1.27708835983301,1.35073593351763,1.28259608482111,1.49530019064154,1.61025900450338,1.14377394115181,1.48359687171998,1.21254791303998,1.36743519019245,1.60641848279158,1.36678615652243,1.38655702190281,1.36028935220515,1.61864332023653,1.30380584380032,1.35320242792608,1.2993555401358
AA06,2.10595421245303,1.83220510514434,2.18852413985777,1.98184112520905,1.41821034278443,1.81446082916841,2.53344803472314,2.03605749159724,2.12403451186046,2.20303983561841,1.97615567546093,2.12159150153985,1.91580526931118,2.04899435389123,1.88161052048212,1.54299914926816,1.78051330514037,2.13044392430521,2.14573088904308,1.60395505253055,1.87914838922245,1.85545486316143,2.10616677913907,1.95000001814024
